Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
Nucleus Identifier,Unique nuclei barcode; added at transposition step. Determines which nucleus the reads originated from,Nuclei Barcode,"","",TRUE,scATAC-seq Level 1,"","",""
Nuclei Barcode,Nuclei Barcode,"Nuclei Barcode Read, Nuclei Barcode Length","","",FALSE,scATAC-seq Level 1,"","",""
scATACseq Library Layout,Sequencing read type,scATACseq Paired End,"","",TRUE,scATAC-seq Level 1,"","",""
Nuclei Barcode Read,Nuclei Barcode Read,"","","",TRUE,scATAC-seq Level 1,"","",""
Nuclei Barcode Length,Nuclei Barcode Length,"","","",TRUE,scATAC-seq Level 1,"","",""
scATACseq Paired End,A library layout type,"scATACseq Read1, scATACseq Read2","","",FALSE,scATAC-seq Level 1,"","",""
scATACseq Read1,Read 1 content description,"Cell Barcode and DNA Insert, Sample Index and DNA Insert, DNA Insert, Sample Index, Cell Barcode","","",TRUE,scATAC-seq Level 1,"","",""
scATACseq Read2,Read 2 content description,"Cell Barcode and DNA Insert, Sample Index and DNA Insert, DNA Insert, Sample Index, Cell Barcode","","",TRUE,scATAC-seq Level 1,"","",""
scATACseq Read3,Read 3 content description,"Cell Barcode and DNA Insert, Sample Index and DNA Insert, DNA Insert, Sample Index, Cell Barcode","","",FALSE,scATAC-seq Level 1,"","",""
Threshold for Minimum Passing Reads,Threshold for calling cells,"","","",TRUE,scATAC-seq Level 1,"","",""
Total Number of Passing Nuclei,Number of nuclei sequenced,"","","",TRUE,scATAC-seq Level 1,"","",""
Median Fraction of Reads in Peaks,Median fraction of reads in peaks (FRIP),"",Peaks Calling Software,"",TRUE,scATAC-seq Level 1,"","",""
Median Fraction of Reads in Annotated cis DNA Elements,Median fraction of reads in annotated cis-DNA elements (FRIADE),"",Peaks Calling Software,"",TRUE,scATAC-seq Level 1,"","",""
Median Passing Read Percentage,Non-PCR duplicate nuclear genomic sequence reads not aligning to unanchored contigs out of total reads assigned to the nucleus barcode,"","","",TRUE,scATAC-seq Level 1,"","",""
Median Percentage of Mitochondrial Reads per Nucleus,Contamination from mitochondrial sequences,"","","",TRUE,scATAC-seq Level 1,"","",""
Peaks Calling Software,Generic name of peaks calling tool,"","","",TRUE,scATAC-seq Level 1,"","",""
Single Nucleus Buffer,Nuclei isolation buffer,"NIB, 10x, Omni","","",TRUE,scATAC-seq Level 1,"","",""
Transposition Reaction,"Name of the transposase, transposon sequences","Tn5, EZ-Tn5, Tn5-059, Nextera Tn5, In-House","","",TRUE,scATAC-seq Level 1,"","",""
