Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
Imaging Level 2,Raw and pre-processed image data,"","Component, Filename, File Format, Lab ID, Channel Metadata Filename, Imaging Assay Type, Protocol Link, Software and Version, Microscope, Objective, NominalMagnification, LensNA, WorkingDistance, WorkingDistanceUnit, Immersion, Pyramid, Zstack, Tseries, Passed QC, Comment, FOV number, FOVX, FOVXUnit, FOVY, FOVYUnit, Frame Averaging, Image ID, DimensionOrder, PhysicalSizeX, PhysicalSizeXUnit, PhysicalSizeY, PhysicalSizeYUnit, PhysicalSizeZ, PhysicalSizeZUnit, Pixels BigEndian, PlaneCount, SizeC, SizeT, SizeX, SizeY, SizeZ, PixelType","",FALSE,Assay,"Biospecimen, Imaging Level 2 Channels","",""
Imaging Level 2 Channels,Channel-level Metadata Attributes,"","Channel ID, Channel Name, Channel Passed QC, Cycle Number, Sub Cycle Number, Target Name, Antibody Name, RRID identifier, Fluorophore, Clone, Lot, Vendor, Catalog Number, Excitation Wavelength, Emission Wavelength, Excitation Bandwidth, Emission Bandwidth, Metal Isotope Element, Metal Isotope Mass, Oligo Barcode Upper Strand, Oligo Barcode Lower Strand, Dilution, Concentration","",FALSE,Imaging Level 2,"","",""
Imaging Assay Type,Type of imaging assay,"H&E, CyCIF, t-CyCIF, IHC, mIHC, MxIF, SABER, IMC, CODEX, GeoMX-DSP, MIBI, MERFISH, ExSeq, Not Applicable","","",TRUE,Imaging Level 2,"","",""
Channel Metadata Filename,Full path of uploaded companion CSV file containing channel-level metadata details,"","","",TRUE,Imaging Level 2,"","",""
Image Acquisition Date,Date of image acquisition,"","","",FALSE,Imaging Level 2,"","",""
Microscope,"Microscope type (manufacturer, model, etc) used for this experiment","","","",TRUE,Imaging Level 2,"",http://purl.obolibrary.org/obo/OBI_0400169,""
Objective,Objective,"","","",FALSE,Imaging Level 2,"","",""
NominalMagnification,The magnification of the lens as specified by the manufacturer - i.e. '60' is a 60X lens. floating point value > 1(no units),"","","",TRUE,Imaging Level 2,"","",""
LensNA,The numerical aperture of the lens. Floating point value > 0.,"","","",FALSE,Imaging Level 2,"","",""
WorkingDistance,"The working distance of the lens, expressed as a floating point number. Floating point > 0.","",WorkingDistanceUnit,"",FALSE,Imaging Level 2,"","",""
WorkingDistanceUnit,The units of the working distance. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),"cm, mm, µm, nm, Å","","",FALSE,Imaging Level 2,"","",""
Immersion,Immersion medium,"Air, Oil, Water, Other","","",FALSE,Imaging Level 2,"","",""
Pyramid,Does data file contain pyramid of images,"Yes, No","","",TRUE,Imaging Level 2,"","",""
Zstack,Does data file contain a Z-stack of images,"Yes, No","","",TRUE,Imaging Level 2,"","",""
Tseries,Does data file contain a time-series of images,"Yes, No","","",TRUE,Imaging Level 2,"","",""
Passed QC,Did all channels pass QC (if not add free text Comment),"Yes, No - Channels QC","","",TRUE,Imaging Level 2,"","",""
No - Channels QC,Not all channels passed QC,"",Comment,"",FALSE,Imaging Level 2,"","",""
Comment,Free text field (generally for QC comment),"","","",FALSE,Imaging Level 2,"","",""
FOV number,Index of FOV (as it pertains to its sequence order). Integer >= 1,"","","",FALSE,Imaging Level 2,"","",""
FOVX,Field of view X dimension. Floating point,"",FOVXUnit,"",FALSE,Imaging Level 2,"","",""
FOVXUnit,Field of view X dimension units. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),"cm, mm, µm, nm, Å","","",FALSE,Imaging Level 2,"","",""
FOVY,Field  of view Y dimension. Floating point value,"",FOVYUnit,"",FALSE,Imaging Level 2,"","",""
