Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
Biospecimen,"Biological entity; this can be tissue, blood, analyte and subsamples of those","","Biospecimen ID, Parent ID, Parent Biospecimen ID, Adjacent Biospecimen IDs,Biospecimen Type,Timepoint Label,Specimen Laterality","",FALSE,Patient,"",""
Biospecimen ID, ID associated with a biosample based on  ID SOP (eg x_yyy_zzz),"","","",TRUE,Biospecimen,"",https://docs.google.com/document/d/1podtPP8L1UNvVxx9_c_szlDcU1f8n7bige6XA_GoRVM/edit?usp=sharing,""
Parent ID, ID of parent from which the biospecimen was obtained. Parent could be another biospecimen or a research participant.,"","","",TRUE,Biospecimen,"",https://docs.google.com/document/d/1podtPP8L1UNvVxx9_c_szlDcU1f8n7bige6XA_GoRVM/edit?usp=sharing,""
Parent Biospecimen ID, Biospecimen Identifier (eg x_yyy_zzz) indicating the biospecimen(s) from which these files were derived; multiple parent biospecimen should be comma-separated,"","","",TRUE,Biospecimen,"",https://docs.google.com/document/d/1podtPP8L1UNvVxx9_c_szlDcU1f8n7bige6XA_GoRVM/edit?usp=sharing,""
Biospecimen Type,Biospecimen Type,"Tissue Biospecimen Type, Blood Biospecimen Type, Analyte Biospecimen Type, Mouth Rinse Biospecimen Type, Stool Biospecimen Type, Urine Biospecimen Type, Ascites Biospecimen Type, Sputum Biospecimen Type, Fluids Biospecimen Type, Bone Marrow Biospecimen Type, Cells Biospecimen Type","","",TRUE,Biospecimen,"","",""
Analyte Biospecimen Type,A molecular derivative (I.e. RNA / DNA / Protein Lysate) obtained from a specimen,"","Analyte Type, Fixation Duration, Slide Charge Type, Section Thickness Value, Sectioning Days from Index, Shipping Condition Type, Ischemic Time, Ischemic Temperature","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2513915&version=2.0,""
Tissue Biospecimen Type,Tissue biospecimen,"","Ischemic Time, Ischemic Temperature, Site of Resection or Biopsy, Specimen Laterality, Portion Weight, Total Volume, Tumor Tissue Type, Histologic Morphology Code, Preservation Method, Biospecimen Dimension 1, Biospecimen Dimension 2, Biospecimen Dimension 3, Section Number in Sequence","",FALSE,Biospecimen,"","",""
Bone Marrow Biospecimen Type,Bone Marrow biospecimen,"","Ischemic Time, Ischemic Temperature, Site of Resection or Biopsy, Specimen Laterality, Portion Weight, Total Volume, Tumor Tissue Type, Histologic Morphology Code, Preservation Method, Biospecimen Dimension 1, Biospecimen Dimension 2, Biospecimen Dimension 3, Section Number in Sequence","",FALSE,Biospecimen,"","",""
Urine Biospecimen Type,Urine biospecimen,"","Ischemic Time, Ischemic Temperature, Site of Resection or Biopsy, Specimen Laterality, Portion Weight, Total Volume, Tumor Tissue Type, Histologic Morphology Code, Preservation Method","",FALSE,Biospecimen,"","",""
Blood Biospecimen Type,Blood biospecimen,"",Shipping Condition Type,"",FALSE,Biospecimen,"","",""
Timepoint Label,"Label to identify the time point at which the clinical data or biospecimen was obtained (e.g. Baseline, End of Treatment, Overall survival, Final). NO PHI/PII INFORMATION IS ALLOWED.","","","",TRUE,Biospecimen,"","",""
Collection Days from Index,Number of days from the research participant's index date that the biospecimen was obtained.,"","","",TRUE,Biospecimen,"","",""
Adjacent Biospecimen IDs,"List of  Identifiers (separated by commas) of adjacent biospecimens cut from the same sample; for example HTA3_3000_3, HTA3_3000_4, ...","","","",FALSE,Biospecimen,"","",""
Mounting Medium,"The solution in which the specimen is embedded, generally under a cover glass. It may be liquid, gum or resinous, soluble in water, alcohol or other solvents and be sealed from the external atmosphere by non-soluble ringing media","Aqueous water based, Non-Aqueous Solvent based, Xylene,Toluene,Antifade with DAPI,Antifade without DAPI,PBS,unknown,Not Reported","","",FALSE,Biospecimen,"","",""
Analyte Type,The kind of molecular specimen analyte: a molecular derivative (I.e. RNA / DNA / Protein Lysate) obtained from a specimen,"cfDNA Analyte, DNA Analyte, RNA Analyte, Total RNA Analyte, Tissue Block Analyte, Tissue Section Analyte, PBMCs or Plasma or Serum Analyte, cDNA Libraries Analyte, PBMCs, Plasma, Serum Analyte","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2513915&version=2.0,""
Acquisition Method Type,Records the method of acquisition or source for the specimen under consideration.,"Autopsy, Biopsy, Fine Needle Aspirate, Surgical Resection, Punch Biopsy, Shave Biopsy, Excision, Re-excision, Sentinel Node Biopsy, Lymphadenectomy - Regional Nodes, Other Acquisition Method, Non induced sputum, Induced sputum, BAL (bronchial alveolar lavage), Cytobrush, Blood draw, Fluid collection, Forceps biopsy, Core needle biopsy, Endoscopic biopsy, Not specified","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=6626651&version=1.0,""
Other Acquisition Method,A custom acquisition method,"",Acquisition Method Other Specify,"",FALSE,Biospecimen,"","",""
Acquisition Method Other Specify,A custom acquisition method [Text - max length 100 characters],"","","",TRUE,Biospecimen,"","",""
Preservation Method,Text term that represents the method used to preserve the sample.,"Archival,Cryopreserved, Cryopreservation in liquid nitrogen - dead tissue, Cryopreservation in dry ice - dead tissue, Cryopreservation in liquid nitrogen - live cells, Formalin fixed paraffin embedded - FFPE, Formalin fixed-unbuffered, Formalin fixed-buffered, Fresh, Fresh dissociated and single cell sorted into plates in NP40 buffer, OCT, Snap Frozen, Frozen, Negative 80 Deg C, Liquid Nitrogen, Fresh dissociated, Fresh dissociated and single cell sorted, Fresh dissociated and single cell sorted into plates, Methacarn fixed paraffin embedded - MFPE, unknown, Not Reported","","",TRUE,Biospecimen,"","",""
