Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
Days to Progression,Number of days between the date used for index and the date the patient's disease progressed.,"","","",FALSE,Diagnosis,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=6154730&version=1.0,""
Days to Progression Free,Number of days between the date used for index and the date the patient's disease was formally confirmed as progression-free.,"","","",FALSE,Diagnosis,"","",""
Progression or Recurrence,Yes/No/unknown indicator to identify whether a patient has had a new tumor event after initial treatment.,"Yes - Progression or Recurrence, No, unknown, Not Reported","","",TRUE,Diagnosis,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=3121376&version=1.0,""
Yes - Progression or Recurrence,The patient has had a new tumor event after initial treatment,"","Progression or Recurrence Type, Days to Progression, Days to Progression Free, Days to Recurrence, Days to Recurrence, Progression or Recurrence Anatomic Site","",FALSE,Diagnosis,"","",""
NCI Atlas Cancer Site,"The primary tumor site used to calculate the incidence rate using the NCI Cancer Atlas, a digital atlas which provides geographical data related to cancer utilizing the Surveillance, Epidemiology, and End Results (SEER) Program cancer incidence rates for 2013 to 2017","Bladder, Brain And Other Nervous System, Female Breast, In situ Female Breast, Cervix Uteri, Less Than Age, Malignant Childhood Neoplasm, Colon And Rectum, Esophagus, Kidney And Renal Pelvis, Leukemia, Liver And Bile Duct, Lung And Bronchus, Cutaneous Melanoma, Non-Hodgkin's Lymphoma, Oral Cavity And Pharynx, Ovary, Pancreas, Prostate Gland, Stomach, Thyroid Gland, Uterus","","",FALSE,Diagnosis,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=7639473&version=1.0,""
Progression or Recurrence Type,The text term used to describe the type of progressive or recurrent disease or relapsed disease.,"Biochemical, Distant, Local, Regional, unknown, Not Reported","","",FALSE,Diagnosis,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=6142385&version=1.0,""
Sentinel Lymph Node Count,Numeric count of sentinel lymph nodes.,"","","",FALSE,Diagnosis,"","",""
Sentinel Node Positive Assessment Count,The number or amount of metastatic neoplasms related to the confirmed presence of disease or specific microorganisms during examination of the first rounded mass of lymphatic tissue to which cancer is likely to spread from the primary tumor.,"","","",FALSE,Diagnosis,"","",""
Tumor Extranodal Extension Indicator,The indicator to determine extranodal involvement or extent of the disease.,"Absent,Indeterminate,NO, YES, No source documentation,Not applicable,Not sampled or dissected,Present,Present - extensive,Present - minimal,UNKNOWN,Unspecified","","",FALSE,Diagnosis,"","",""
Satellite Metastasis Present Indicator,A yes/no indicator to ask if intransit metastases or satellite lesions are present.,"Yes, No, unknown","","",FALSE,Diagnosis,"","",""
