Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
Smoking Exposure,Indicate if individual has smoking exposure,"Yes - Smoking Exposure, No - Smoking Exposure, Not Reported","","",TRUE,Exposure,"","",""
Yes - Smoking Exposure,Individual has been exposed to smoke; requires additional metadata,"","Years Smoked, Pack Years Smoked, Cigarettes per Day, Smoking Frequency, Type of Smoke Exposure, Time between Waking and First Smoke, Tobacco Smoking Onset Year, Tobacco Smoking Quit Year, Tobacco Smoking Status, Type of Tobacco Used, Secondhand Smoke as Child, Smoke Exposure Duration, Tobacco Use per Day, Smokeless Tobacco Quit Age","",FALSE,Exposure,"","",""
Pack Years Smoked,Numeric computed value to represent lifetime tobacco exposure defined as number of cigarettes smoked per day x number of years smoked divided by 20.,"","","",TRUE,Exposure,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2955385&version=1.0,""
Years Smoked,Numeric value (or unknown) to represent the number of years a person has been smoking.,"","","",TRUE,Exposure,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=3137957&version=1.0,""
Smoking Frequency,The text term used to generally decribe how often the patient smokes.,"Every day, Some days, unknown","","",FALSE,Exposure,"","",""
Secondhand Smoke as Child,The text term used to indicate whether the patient was exposed to secondhand smoke as a child.,"Yes, No, unknown, Not Reported","","",FALSE,Exposure,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=6841888&version=1.0,""
Tobacco Use per Day,Numeric value that represents the number of times the patient uses tobacco each day.,"","","",FALSE,Exposure,"","",""
Tobacco Smoking Status,Category describing current smoking status and smoking history as self-reported by a patient,"Lifelong Non-Smoker, Current Smoker, Current Reformed Smoker for > 15 yrs, Current Reformed Smoker for < or = 15 yrs, Current Reformed Smoker, Duration Not Specified, Smoking history not documented, unknown, Not Reported","","",FALSE,Exposure,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2181650&version=1.0,""
Alcohol Exposure,Indicate if individual has alcohol exposure,"Yes - Alcohol Exposure, No - Alcohol Exposure, Not Reported","","",TRUE,Exposure,"","",""
Yes - Alcohol Exposure,"","","Alcohol Days Per Week, Alcohol Drinks Per Day, Alcohol History, Alcohol Intensity, Alcohol Type","",FALSE,Exposure,"","",""
Alcohol Days Per Week,Numeric value used to describe the average number of days each week that a person consumes an alcoholic beverage.,"","","",FALSE,Exposure,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=3114013&version=1.0,""
Alcohol Drinks Per Day,Numeric value used to describe the average number of alcoholic beverages a person consumes per day.,"","","",FALSE,Exposure,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=3124961&version=1.0,""
Alcohol History,A response to a question that asks whether the participant has consumed at least 12 drinks of any kind of alcoholic beverage in their lifetime.,"Yes, No, unknown, Not Reported","","",FALSE,Exposure,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2201918&version=1.0,""
Alcohol Intensity,Category to describe the patient's current level of alcohol use as self-reported by the patient.,"Drinker, Heavy Drinker, Lifelong Non-Drinker, Non-Drinker, Occasional Drinker, unknown, Not Reported","","",FALSE,Exposure,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=3457767&version=1.0,""
Alcohol Type,Type of alcohol use,"Beer, Liquor, Other, Wine, unknown, Not Reported","","",FALSE,Exposure,"","",""
Cigarettes per Day,The average number of cigarettes smoked per day.,"","","",FALSE,Exposure,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2001716&version=4.0,""
Environmental Tobacco Smoke Exposure,"The yes/no/unknown indicator used to describe whether a patient was exposed to smoke that is emitted from burning tobacco, including cigarettes, pipes, and cigars. This includes tobacco smoke exhaled by smokers.","Yes, No, unknown","","",FALSE,Exposure,"","",""
Antibiotic Use,"Antibiotic use","No, Yes - within last monthh, Yes - within last 1-6 months, Yes - over 6 months ago,unknown","","",FALSE,Exposure,"","",""
