Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
Days to Treatment End,Number of days between the date used for index and the date the treatment ended.,"","","",FALSE,Therapy,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=6154725&version=1.0,""
Days to Treatment Start,Number of days between the date used for index and the date the treatment started.,"","","",FALSE,Therapy,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=6154726&version=1.0,""
Initial Disease Status,The text term used to describe the status of the patient's malignancy when the treatment began.,"Initial Diagnosis, Progressive Disease, Recurrent Disease, Residual Disease, unknown, Not Reported","","",FALSE,Therapy,"","",""
Regimen or Line of Therapy,The text term used to describe the regimen or line of therapy.,"","","",FALSE,Therapy,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=6161024&version=1.0,""
Therapeutic Agents,Text identification of the individual agent(s) used as part of a treatment regimen.,"","","",FALSE,Therapy,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2975232&version=1.0,""
Treatment Effect,The text term used to describe the pathologic effect a treatment(s) had on the tumor.,"Complete Necrosis (No Viable Tumor), Incomplete Necrosis (Viable Tumor Present), No Necrosis, unknown, Not Reported","","",FALSE,Therapy,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=6514354&version=1.0,""
Treatment Intent Type,Text term to identify the reason for the administration of a treatment regimen. [Manually-curated],"Adjuvant, Cancer Control, Cure, Neoadjuvant, Palliative, Prevention, unknown, Not Reported","","",FALSE,Therapy,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2793511&version=1.0,""
Treatment or Therapy,A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received.,"yes, no, unknown, Not Reported","","",FALSE,Therapy,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=4231463&version=1.0,""
Treatment Outcome,Text term that describes the patient's final outcome after the treatment was administered.,"Complete Response, Mixed Response, No Measurable Disease, No Response, Partial Response, Persistent Disease, Progressive Disease, Stable Disease, Treatment Ongoing, Treatment Stopped Due to Toxicity, Very Good Partial Response, unknown, Not Reported","","",FALSE,Therapy,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5102383&version=1.0,""
Treatment Type,Text term that describes the kind of treatment administered.,"Ablation Cryo,Ablation Ethanol Injection,Ablation Microwave,Ablation NOS,Ablation Radiofrequency,Ablation Radiosurgical,Ancillary Treatment,Antiseizure Treatment,Bisphosphonate Therapy,Blinded Study Treatment unknown,Brachytherapy High Dose,Brachytherapy Low Dose,Brachytherapy NOS,Chemoembolization,Chemoprotectant,Chemotherapy,Concurrent Chemoradiation,Cryoablation,Embolization,Ethanol Injection Ablation,External Beam Radiation,Hormone Therapy,I-131 Radiation Therapy,Internal Radiation,Immunotherapy (Including Vaccines),Isolated Limb Perfusion (ILP),Organ Transplantation,Other,Pharmaceutical Therapy NOS,Pleurodesis,Radiation 2D Conventional,Radiation 3D Conformal,Radiation Combination,Radiation Cyberknife,Radiation External Beam,Radiation Implants,Radiation Intensity-Modulated Radiotherapy,Radiation Internal,Radiation Proton Beam,Radiation Radioisotope,Radiation Stereotactic/Gamma Knife/SRS,Radiation Systemic,Radiation Therapy NOS,Radioactive Iodine Therapy,Radioembolization,Radiosensitizing Agent,Stem Cell Treatment,Stem Cell Transplantation Autologous,Stem Cell Transplantation Double Autologous,Stem Cell Transplantation Allogeneic,Stem Cell Transplantation Non-Myeloablative,Stem Cell Transplantation Syngenic,Stem Cell Transplantation Haploidentical,Stem Cell Transplantation NOS,Stereotactic Radiosurgery,Steroid Therapy,Surgery,Targeted Molecular Therapy,unknown,Not Reported","","",FALSE,Therapy,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5102381&version=1.0,""
Chemo Concurrent to Radiation,The text term used to describe whether the patient was receiving chemotherapy concurrent to radiation.,"Yes, No, unknown, Not Reported","","",FALSE,Therapy,"","",""
Number of Cycles,The numeric value used to describe the number of cycles of a specific treatment or regimen the patient received.,"","","",FALSE,Therapy,"","",""
Reason Treatment Ended,The text term used to describe the reason a specific treatment or regimen ended.,"Adverse Therapy Event, Course of Therapy Completed, Death, Disease Progression, Other, Withdrawal by Subject","","",FALSE,Therapy,"","",""
Treatment Arm,Text term used to describe the treatment arm assigned to a patient at the time eligibility is determined.,"A081105, E4512, EA5142","","",FALSE,Therapy,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=7068995&version=1.0,""
Treatment Dose,The numeric value used to describe the dose of an agent the patient received.,"","","",FALSE,Therapy,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2182728&version=3.0,""
Treatment Dose Units,The text term used to describe the dose units of an agent the patient received.,"cGy, Gy","","",FALSE,Therapy,"","",""
Treatment Effect Indicator,The text term used to indicate whether the treatment had an effect on the patient.,"Yes, No, Not Reported, unknown","","",FALSE,Therapy,"","",""
Treatment Frequency,The text term used to describe the frequency the patient received an agent or regimen.,"Every Hour,Five Times Daily,Four Times Daily,Three Times Daily,Twice Daily,Every 24 Hours,Every Other Day,Twice Weekly,Once Weekly,unknown,Not Reported","","",FALSE,Therapy,"","",""
